,vinculo,inep,cep,distrito,bairro,logradouro,numero,complemento,fone,email,cel1,cel2,sigla,possui_internet_escola,tipo_internet_escola,status_escola,possui_lab,possui_analista,tipo_sala,pregao1,pregao2,pregao3,pregao4,possui_internet_lab,tipo_internet_lab,lab_montado,qt_computadores_lab,qt_monitores_lab,qt_projetores,qt_tablets,status_lab,ar_condicionado_lab,impressora_lab,qt_notebook_lab,roteador_lab,switch_lab,qt_cadeiras_lab,162,pessoa_id,user_id,created_at,updated_at
,Liberado,29026288,48.920-000,ITAMOTINGA,ITAMOTINGA,VILA SANTA INES,,,(74) 3617-8213,nao possui,,,EMSI,SIM,CLARO,ATIVO,SIM,SIM,SALA PRÓPRIA,,,,,SIM,CLARO,SIM,0,13,,,,,,,,,13,103,1,12,,
,Liberado,29026300,48.900-010,ITAMOTINGA,MANICOBA,POVOADO DE JAZIDA 7,,,,não possui,(74) 98811-0653,,EMST - J7,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,NÃO,NENHUMA,,0,1,,,,,,,,,1,104,1,12,,
,Liberado,29025010,48.920-000,ITAMOTINGA,ITAMOTINGA,PROJETO CURACA NH03,,VILA SANTO ANTONIO,(74) 3618-7055,nao possui,,,EMSA,SIM,OUTRO,ATIVO,SIM,SIM,,38.2006,,,,SIM,,SIM,0,25,,,ATIVO,,,,,,25,105,1,12,,
,Liberado,29026350,48.924-000,ITAMOTINGA,ITAMOTINGA,MULUNGU- MANICOBA,,PROJETO MANICOBA,(74) 3617-8287,nossasenhorasaofrancisco@gmail.com,,,EMSFA - M,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,106,1,12,,
,Liberado,29025982,48.920-000,ITAMOTINGA,ITAMOTINGA,PERIMETRO IRRIGADO DE CURACA,,,(74) 3618-9018,nao possui,,,EMSFA - I,SIM,OUTRO,ATIVO,SIM,NÃO,,,,,,,,,0,16,,,,,,,,,16,107,1,12,,
,Liberado,29027098,48.900-010,PINHÕES,PINHÕES,PRACA SAO PEDRO,,,(74) 3617-4003,alinedefatima92@gmail.com,,,EMSFA - P,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,108,1,12,,
,Liberado,29026377,48.920-000,ITAMOTINGA,ITAMOTINGA,MATO GROSSO - MANICOBA,,,,não possui,,,EMSJ,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,,,,0,6,,,ATIVO,,,,,,6,109,1,12,,
,Liberado,29025931,48.920-000,ITAMOTINGA,ITAMOTINGA,FAZENDA ITAPARICA,,,,nao possui,(74) 99612-5672,,EMSS,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,NÃO,NENHUMA,,0,5,,,ATIVO,,,,,,5,110,1,12,,
,Liberado,29026520,48.910-000,JUNCO,SALITRE,SAO GONCALO,,,(74) 3538-1883,nao possui,,,EMVAD,SIM,OUTRO,ATIVO,SIM,NÃO,,68.2009,,,,,,,0,5,,,,,,,,,5,111,1,12,,
,Liberado,29461251,48.900-991,SEDE,JARDIM PRIMAVERA,QUADRA 37,1,CASA,,emailprimaveraarceniojose@gmail.com,,,EMEIP,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,112,1,12,,
,Liberado,1,48.000-000,SEDE,SEDE,SEDE,,,,nao possui,,,EMEISA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,113,1,12,,
,Liberado,29429790,48.922-000,SEDE,SEDE,FAZENDA LAGINHA,,,,emailprimaveaarceniojose@gmail.com,,,EMEIAJS,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,114,1,12,,
,Liberado,29341744,48.924-000,PINHÕES,PINHÕES,TRAVESSA DA RODOVIA,,,(74) 3617-4003,alinedefatima92@gmail.com,,,EMESF,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,115,1,12,,
,Liberado,2902611,48.900-010,ITAMOTINGA,ITAMOTINGA,PROJETO CAJ,,PREDIO,(74) 3617-3089,escolamunicipaleliseusantos@hotmail.com,(74) 98807-1291,,EMES,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,116,1,12,,
,Liberado,29341779,48.918-000,MASSAROCA,MASSAROCA,POVOADO LAGOINHA,,,,ruralmassaroca@hotmail.com,(74) 99443-6003,,EMRM,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,69.2008,,,,NÃO,NENHUMA,SIM,0,2,,,ATIVO,,,,,,2,117,1,12,,
,Liberado,29026199,48.900-991,ITAMOTINGA,ITAMOTINGA,FAZENDA QUIPA - MANDACARU I,,,(74) 3611-0070,euridiceribeiroviana.quipa@hotmail.com,(74) 99988-3138,,EMERV,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,NÃO,NENHUMA,,0,5,,,,,,,,,5,118,1,12,,
,Liberado,29026202,48.900-010,ITAMOTINGA,MANIÇOBA,RIACHO DA MASSAROCA,,,(74) 3617-8230,klerisson@yahoo.com.br,(74) 98836-7939,,EMFU,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,119,1,12,,
,Liberado,29025575,48.900-515,SEDE,PADRE VICENTE - CODEVASF,RUA DA SAUDADE,,,(74) 3611-1626,patriciacarla01@hotmail.com,,,EMPHAP,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,15,,,ATIVO,,,,,,15,120,1,12,,
,Liberado,29026628,48.900-010,JUNCO,JUNCO,CAPIM DE RAIZ,,,,solangetiasol@hotmail.com,(74) 98861-6398,,EMHMR,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,121,1,12,,
,Liberado,29025589,48.900-010,ITAMOTINGA,MANIÇOBA,RUA PRINCIPAL,,POVOADO DE JATOBA,(74) 3618-6007,amiltongomes2016@hotmail.com,,,EMJ,SIM,OUTRO,ATIVO,SIM,NÃO,,68.2009,,,,SIM,OUTRO,,0,5,,,,,,,,,5,122,1,12,,
,Liberado,29026261,48.920-000,ITAMOTINGA,ITAMOTINGA,FAZENDA PERIQUITO,,,,nao possui,(74) 99934-6352,,EMPJR,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,123,1,12,,
,Liberado,29026741,48.910-000,JUNCO,JUNCO,POVOADO DE ALFAVACA SALITRE,,JUNCO,(74) 3613-5288,nao possui,,,EMJDF,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA DE AULA,68.2009,,,,SIM,,SIM,0,5,,,,,,,,,5,124,1,12,,
,Liberado,29025222,29.025-222,JUNCO,JUNCO,MARRUA,,SALITRE,(74) 3617-5141,não possui,(74) 98811-1398,(74) 99925-7220,EMJNA,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,NÃO,NENHUMA,,0,5,,,,,,,,,5,125,1,12,,
,Liberado,29025168,48.902-190,SEDE,MARINGA,RUA CARLOS DRUMOND DE ANDRADE,,,(74) 3611-0041,joca.diretoria@gmail.com,,,EMJSO,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,17,,,ATIVO,SIM,,,,,17,126,1,12,,
,Liberado,29026636,48.901-000,JUNCO,LAGOA,LAGOA SALITRE,,,(74) 3617-1093,professoruelsonandrade@hotmail.com,(74) 98816-2837,(74) 98845-1648,EMJA,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,127,1,12,,
,Liberado,29025370,48.900-440,SEDE,ALTO DO CRUZEIRO,RUA DOIS,,,(74) 3612-0372,escolajosepadilha@hotmail.com,(74) 98806-9499,,EMJPS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,0,19,,,ATIVO,SIM,SIM,,SIM,,19,128,1,12,,
,Liberado,29025176,48.904-380,SEDE,CENTRO,RUA SANTA MARIA GORETTI,,,(74) 3611-4939,escolajuditelcosta@hotmail.com,,,EMJLC,SIM,VELOX,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,129,1,12,,
,Liberado,29025923,48.920-000,ITAMOTINGA,ITAMOTINGA,FAZENDA RODEADOR,,,(74) 3617-2000,nao possui,,,EMLMJ,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,NÃO,NENHUMA,,0,5,,,ATIVO,,,,,,5,130,1,12,,
,Liberado,29002664,48.910-000,JUNCO,JUNCO,HORTO FLORESTAL - SALITRE,,,,nao possui,,,EMLCS,NÃO,NENHUMA,ATIVO,SIM,NÃO,,69.2008,,,,NÃO,NENHUMA,,0,5,,,,,,,,,5,131,1,12,,
,Liberado,29025184,48.905-510,SEDE,LOMANTO JUNIOR,RUA SANTA TEREZINHA,,,(74) 3612-1731,nao possui,,,EMLSC,SIM,VELOX,ATIVO,SIM,NÃO,,83.2008,,,,SIM,VELOX,,0,15,,,,,,,,,15,132,1,12,,
,Liberado,29025206,48.900-990,SEDE,JARDIM PRIMAVERA,CONJUNTO HABITACIONAL MANDACARU I,,,(74) 3618-3089,nao possui,,,EMM,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,SEM PREGÃO,,,,SIM,VELOX,,0,13,,,,,,,,,13,133,1,12,,
,Liberado,29025672,48.912-000,ABÓBORA,ABOBORA,AVENIDA ALFREDO VIANA,37,,(74) 3617-9072,emmsbonfim@hotmail.com,(74) 99991-2855,,EMMSB,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA PRÓPRIA,38.2006,68.2009,,,SIM,RÁDIO,,0,18,,,ATIVO,SIM,SIM,,SIM,16 PORTAS,18,134,1,12,,
,Liberado,29026440,48.920-000,SEDE,PORTO DE PEDRA,POVOADO DE PORTO DE PEDRA,,,(74) 3611-0549,nao possui,,,EMMGM,SIM,OUTRO,ATIVO,SIM,SIM,SALA PRÓPRIA,,,,,,,,0,0,,,,,,,,,0,135,1,12,,
,Liberado,29026296,48.900-010,ITAMOTINGA,MANICOBA,CAMPOS,,,(74) 3613-9057,jaquellineassessoria27@gmail.com,,,EMMLS,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,,,,0,5,,,,,,,,,5,136,1,12,,
,Liberado,29341710,48.910-000,JUNCO,SALITRE,RUA PRINCIPAL,,,(74) 3611-5110,nao possui,,,EMNA,SIM,OUTRO,ATIVO,SIM,SIM,SALA PRÓPRIA,68.2009,,,,,,,0,10,,,ATIVO,SIM,,,,,10,137,1,12,,
,Liberado,29026776,48.910-000,JUNCO,JUNCO,POVOADO DO SABIA II,,,(74) 9910-4427,nao possui,,,EMPMASO,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,138,1,12,,
,Liberado,29026652,48.910-000,JUNCO,JUNCO,SOBRADINHO,,,(74) 4400-7626,nao possui,,,EMMCSN,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,,,,0,5,,,,,,,,,5,139,1,12,,
,Liberado,29026660,48.910-000,JUNCO,RODEADOURO,RUA SAO JOSE,,DISTRITO DE JUNCO,(74) 3618-4001,nao possui,,,EMMMB,NÃO,NENHUMA,ATIVO,SIM,NÃO,,68.2009,,,,,,,0,5,,,,,,,,,5,140,1,12,,
,Liberado,29025230,48.920-000,ITAMOTINGA,ITAMOTINGA,POVOADO DE GUANHAES,,CASA,(74) 3618-3004,escolamarianorodrigues@yahoo.com.br,,,EMMRS,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,,,,0,5,,,,,,,,,5,141,1,12,,
,Liberado,29026679,48.910-000,JUNCO,JUNCO,POVOADO DE CURRAL NOVO,,,,nao possui,(74) 99986-7445,,EMMAS,SIM,OUTRO,ATIVO,SIM,NÃO,,,,,,,,,0,8,,,,,,,,,8,142,1,12,,
,Liberado,29026105,48.920-000,ITAMOTINGA,ITAMOTINGA,BOQUEIRAO - MANICOBA,,,(74) 3617-8287,nossasenhorasaofrancisco@gmail.com,,,EMNSG-B,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,143,1,12,,
,Liberado,29025788,48.922-000,CARNAÍBA,CARNAIBA,POVOADO DE CARNEIROS,,,(74) 3618-1244,escola_nsgrotas@hotmail.com,,,EMNSG-CARNAÍBA,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,,,,0,5,,,,,,,,,5,144,1,12,,
,Liberado,29025311,48.904-160,SEDE,CENTRO,RUA DO SOCORRO,,ALAGADICO,(74) 3611-0044,ensgseduc@gmail.com,,,EMNSG-SEDE,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,38.2006,,,,SIM,VELOX,SIM,10,10,,,ATIVO,SIM,NÃO,,NÃO,16 PORTAS,10,145,1,12,,
,Liberado,29025958,48.920-000,ITAMOTINGA,PROJETO MANICOBA,FAZENDA LAGOA GRANDE,,,,escolarainha@gmail.com,(74) 99195-7370,,EMNSRA,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,,,,0,1,,,,,,,,,1,146,1,12,,
,Liberado,29025869,48.922-000,CARNAÍBA,CARNAIBA,RUA VERMELHA,  ,,(74) 3618-1270,escola_osorioteles@hotmail.com,,,EMOTM,NÃO,NENHUMA,ATIVO,SIM,NÃO,,,,,,,,,0,5,,,,,,,,,5,147,1,12,,
,Liberado,29026792,48.910-000,JUNCO,JUNCO,POVOADO PASSAGEM DO SARGENTO,,,,nao possui,,,EMPS,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,148,1,12,,
,Liberado,29469252,48.900-020,SEDE,PIRANGA,RUA DO RISO,,,,josefacristinat@gmail.com,(74) 98813-6212,,EMEIPMMS,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,149,1,12,,
,Liberado,0,48.910-000,JUNCO,JUNCO,"ASSENTAMENTO SAO FRANCISCO,",,,(74) 3538-1876,nao possui,(74) 98816-4850,,EMPF-AV,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,150,1,12,,
,Liberado,29461359,48.910-000,JUNCO,JUNCO,ASSENTAMENTO SAO FRANCISCO,,,(74) 3538-1876,nao possui,(74) 98816-4850,,EMPF-P,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,151,1,12,,
,Liberado,29362504,48.908-090,SEDE,JOAO PAULO II,QUADRA NOVE,,,(74) 3612-0485,wilzamiranda@hotmail.com,,,EMPMJLR - EXT,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,152,1,12,,
,Liberado,29026113,48.900-010,ITAMOTINGA,ITAMOTINGA,PROJETO CAJ,,,(74) 3617-3089,escolamunicipaleliseusantos@hotmail.com,(74) 98807-1291,,ZP-EXT ELISEU,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,,,,0,0,,,,,,,,,0,158,1,12,,
